AgentId,TriggerSchemaName,MetricDate,Total Autonomous Runs per trigger,Number of successful runs per trigger,Number of failed runs per trigger,Total duration of all runs per trigger,Total duration of all successful runs per trigger,Total duration of all failed runs per trigger,Number of successful runs with knowledge sources used per trigger,Number of failed runs with knowledge sources used per trigger,Number of successful runs with actions used per trigger,Number of failed runs with actions used per trigger,Number of successful runs where no operation ( use of an action or knowledge source access) was done per trigger,Number of failed runs where no operation ( use of an action or knowledge source access) was done per trigger
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.ExternalTriggerComponent.RecurringCo.174a6a8a-8081-4434-bce1-f52bf355cef,2026-03-08,7,7,0,129,129,0,4,0,6,0,0,0
8a775919-f949-ab5c-5171-99d06151136e,ca_agent49-_5o.ExternalTriggerComponent.RecurringCopilotTrigger.e50706e7-491a-43de-835d-9d7bcd58150c,2026-03-08,7,7,0,549,549,0,0,0,0,0,7,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.ExternalTriggerComponent.Whenanewemailarr.7d8f5988-17ac-4310-8156-b714c0e9016,2026-03-08,195,0,195,1042,0,1042,0,0,0,195,0,0
11c98121-b090-86f2-e35e-095856ee3c17,4b4b291b-ea2a-409f-bf7a-a3bcc59f27e3,2026-03-08,15,14,1,128,126,2,14,0,0,1,0,0
11c98121-b090-86f2-e35e-095856ee3c17,dd6d7d1d-3c63-4f30-9429-7ccd8323bf90,2026-03-08,3,3,0,32,32,0,3,0,0,0,0,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,crad4_irishGrantsResearchAgent.ExternalTriggerComponent.Recurrin.f89be2bf-bc3c-4308-a3d5-922d7b0b9ab,2026-03-08,1,1,0,18,18,0,0,0,1,0,0,0
f84c090b-cfb5-79fa-e66a-68bedca65fdc,copilots_header_6c25a.ExternalTriggerComponent.RecurringCopilotT.5de0c35c-1726-4e07-8997-f0e6fb37ed9,2026-03-08,3,3,0,18,18,0,0,0,0,0,3,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,crad4_sharePointOrderNumberValidator.ExternalTriggerComponent.Wh.4849486f-5e95-4e23-9741-594051ad508,2026-03-08,14,14,0,478,478,0,0,0,14,0,0,0
ae1d0e66-b31b-4998-0714-fb17703e1f21,auto_agent_xfbks.ExternalTriggerComponent.WhenanewemailarrivesV3.883fa0cb-3a3c-4a1e-9765-c81b1f9ece6,2026-03-15,139,53,86,687,359,328,0,0,53,86,0,0
8a775919-f949-ab5c-5171-99d06151136e,ca_agent49-_5o.ExternalTriggerComponent.RecurringCopilotTrigger.e50706e7-491a-43de-835d-9d7bcd58150c,2026-03-15,7,6,1,526,465,61,0,0,0,0,6,1
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.ExternalTriggerComponent.Whenanewemailarr.7d8f5988-17ac-4310-8156-b714c0e9016,2026-03-15,302,1,301,1697,2,1695,0,0,0,301,1,0
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.ExternalTriggerComponent.RecurringCo.174a6a8a-8081-4434-bce1-f52bf355cef,2026-03-15,7,7,0,121,121,0,3,0,5,0,0,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,crad4_sharePointOrderNumberValidator.ExternalTriggerComponent.Wh.4849486f-5e95-4e23-9741-594051ad508,2026-03-15,11,11,0,384,384,0,0,0,11,0,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,cr21a_copilotDailyTipsDev.ExternalTriggerComponent.RecurringCopi.12a96c28-7e0f-4067-9cbd-8b0662437e7,2026-03-15,1,1,0,65,65,0,0,0,0,0,1,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,crad4_irishGrantsResearchAgent.ExternalTriggerComponent.Recurrin.f89be2bf-bc3c-4308-a3d5-922d7b0b9ab,2026-03-15,1,1,0,12,12,0,0,0,1,0,0,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,crad4_sharePointOrderNumberValidator.ExternalTriggerComponent.Wh.4849486f-5e95-4e23-9741-594051ad508,2026-03-22,14,14,0,543,543,0,0,0,14,0,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,cr21a_copilotDailyTipsDev.ExternalTriggerComponent.RecurringCopi.12a96c28-7e0f-4067-9cbd-8b0662437e7,2026-03-22,2,2,0,101,101,0,0,0,0,0,2,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,crad4_irishGrantsResearchAgent.ExternalTriggerComponent.Recurrin.f89be2bf-bc3c-4308-a3d5-922d7b0b9ab,2026-03-22,1,1,0,14,14,0,0,0,1,0,0,0
6cbc666c-cfc2-e9da-e331-b0b1075102f1,ca_agentNKaVKU.ExternalTriggerComponent.RecurringCopilotTrigger.b9a83185-c87f-4243-9812-4c64c4562eb8,2026-03-22,9,7,2,57,38,19,0,0,0,0,7,2
ae1d0e66-b31b-4998-0714-fb17703e1f21,auto_agent_xfbks.ExternalTriggerComponent.WhenanewemailarrivesV3.883fa0cb-3a3c-4a1e-9765-c81b1f9ece6,2026-03-22,162,54,108,797,354,443,0,0,54,108,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,64b90430-25a5-437f-5f2b-6f4511294ec1,2026-03-22,1,1,0,94,94,0,0,0,0,0,1,0
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.ExternalTriggerComponent.RecurringCo.174a6a8a-8081-4434-bce1-f52bf355cef,2026-03-22,7,7,0,123,123,0,1,0,6,0,0,0
8a775919-f949-ab5c-5171-99d06151136e,ca_agent49-_5o.ExternalTriggerComponent.RecurringCopilotTrigger.e50706e7-491a-43de-835d-9d7bcd58150c,2026-03-22,7,7,0,572,572,0,0,0,0,0,7,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.ExternalTriggerComponent.Whenanewemailarr.7d8f5988-17ac-4310-8156-b714c0e9016,2026-03-22,288,0,288,1580,0,1580,0,0,0,288,0,0
3f0a5559-0596-3fe5-aa0f-59899cb9169f,crad4_leaNaLeadNotifierAgent.ExternalTriggerComponent.WhenaLeadE.579cad1b-28c0-4d66-a287-c0518b8f647,2026-03-29,11,11,0,571,571,0,0,0,11,0,0,0
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.ExternalTriggerComponent.RecurringCo.174a6a8a-8081-4434-bce1-f52bf355cef,2026-03-29,2,2,0,35,35,0,0,0,2,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.ExternalTriggerComponent.Whenanewemailarr.7d8f5988-17ac-4310-8156-b714c0e9016,2026-03-29,221,0,221,1332,0,1332,0,0,0,221,0,0
8a775919-f949-ab5c-5171-99d06151136e,ca_agent49-_5o.ExternalTriggerComponent.RecurringCopilotTrigger.e50706e7-491a-43de-835d-9d7bcd58150c,2026-03-29,1,1,0,71,71,0,0,0,0,0,1,0
49d66e77-4b62-47f6-59da-e8a5f77ceb62,copilots_header_951fe.ExternalTriggerComponent.Whenafileiscreate.3aae1753-de80-4ebf-b623-495bd9d4c90,2026-03-29,1,1,0,17,17,0,0,0,0,0,1,0
ae1d0e66-b31b-4998-0714-fb17703e1f21,auto_agent_xfbks.ExternalTriggerComponent.WhenanewemailarrivesV3.883fa0cb-3a3c-4a1e-9765-c81b1f9ece6,2026-03-29,144,58,86,793,423,370,0,0,58,86,0,0
98e53774-1f18-e88c-9de2-07331d654981,crad4_uiPathErrorHelper.ExternalTriggerComponent.Whenanewchannel.f0749be7-bc3f-4803-9948-e8a533f5170,2026-03-29,3,0,3,33,0,33,0,0,0,3,0,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,crad4_irishGrantsResearchAgent.ExternalTriggerComponent.Recurrin.f89be2bf-bc3c-4308-a3d5-922d7b0b9ab,2026-03-29,1,1,0,9,9,0,0,0,1,0,0,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,crad4_sharePointOrderNumberValidator.ExternalTriggerComponent.Wh.4849486f-5e95-4e23-9741-594051ad508,2026-03-29,52,52,0,1956,1956,0,0,0,52,0,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,cr21a_copilotDailyTipsDev.ExternalTriggerComponent.RecurringCopi.12a96c28-7e0f-4067-9cbd-8b0662437e7,2026-03-29,1,1,0,72,72,0,0,0,0,0,1,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,crad4_sharePointOrderNumberValidator.ExternalTriggerComponent.Wh.4849486f-5e95-4e23-9741-594051ad508,2026-04-05,7,7,0,252,252,0,0,0,7,0,0,0
578241a6-ff5e-ce63-21bc-18fd3b399892,cr21a_copilotDailyTipsDev.ExternalTriggerComponent.RecurringCopi.12a96c28-7e0f-4067-9cbd-8b0662437e7,2026-04-05,1,1,0,75,75,0,0,0,0,0,1,0
98e53774-1f18-e88c-9de2-07331d654981,crad4_uiPathErrorHelper.ExternalTriggerComponent.Whenanewchannel.f0749be7-bc3f-4803-9948-e8a533f5170,2026-04-05,1,0,1,10,0,10,0,0,0,1,0,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,crad4_irishGrantsResearchAgent.ExternalTriggerComponent.Recurrin.f89be2bf-bc3c-4308-a3d5-922d7b0b9ab,2026-04-05,1,1,0,10,10,0,0,0,1,0,0,0
49d66e77-4b62-47f6-59da-e8a5f77ceb62,copilots_header_951fe.ExternalTriggerComponent.Whenafileiscreate.3aae1753-de80-4ebf-b623-495bd9d4c90,2026-04-05,1,1,0,18,18,0,0,0,0,0,1,0
