AgentId,ActionSchemaName,MetricDate,Total Runs per action,Number of successful actions in runs,Number of actions in successful runs,Number of successful actions in successful runs
a7f32d9d-7ed5-e83b-e100-04b87adeabcd,copilots_header_d2c0d.action.ServiceNow-CreateRecord,2026-04-05,1,1,0,0
35b60863-5ea2-8181-3a6d-8e6d672db7ea,crad4_sharePointOrderNumberValidator.action.SharePoint-Getfilecontent,2026-04-05,7,7,7,7
8c50c8df-ee9c-c2c5-dcf5-44284d7cdef7,crad4_TestCaseValidationQAS.action.TestcaseExcelGenerator,2026-04-05,13,6,0,0
ae1d0e66-b31b-4998-0714-fb17703e1f21,auto_agent_xfbks.action.Office365Outlook-AssignsanOutlookcategory,2026-04-05,202,67,64,64
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.action.Planner-Createatask,2026-04-05,233,0,0,0
ca046bd6-e1f2-5794-a120-332ca9cf8295,crad4_migrationFluxPowerAutomate.action.Office365Outlook-EnvoyerunerequteHTTP,2026-04-05,3,0,0,0
df66b318-4bbd-6dcb-d6dd-6aaf07eb7275,crad4_agentTm9sB-.action.SQLServer-ExecuteaSQLqueryV2,2026-04-05,219,186,0,0
b7b409ca-6516-2e27-a5b2-e7c823fa4654,crad4_irishGrantsResearchAgent.action.Office365Outlook-SendanemailV2,2026-04-05,1,1,1,1
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.action.Office365Outlook-SendanemailV2,2026-04-05,7,7,7,7
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.action.Planner-Createatask~ListGroups,2026-04-05,123,123,0,0
ca046bd6-e1f2-5794-a120-332ca9cf8295,crad4_migrationFluxPowerAutomate.action.MicrosoftTeams-Publierlemessagedansuneconversationinstantane,2026-04-05,9,0,0,0
b807ae80-0f35-cbe4-ff72-3379c80c3a90,auto_agent_-KW4K.action.GetMyClients,2026-04-12,1,1,0,0
b807ae80-0f35-cbe4-ff72-3379c80c3a90,auto_agent_-KW4K.action.Extract_To_Excel,2026-04-12,23,23,0,0
ca046bd6-e1f2-5794-a120-332ca9cf8295,crad4_migrationFluxPowerAutomate.action.Office365Outlook-Envoyerune-mailpartirduneboteauxlettrespart,2026-04-12,1,1,0,0
ca046bd6-e1f2-5794-a120-332ca9cf8295,crad4_migrationFluxPowerAutomate.action.MicrosoftTeams-Publierlemessagedansuneconversationinstantane,2026-04-12,13,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.action.Planner-Createatask~ListGroups,2026-04-12,142,142,0,0
b807ae80-0f35-cbe4-ff72-3379c80c3a90,auto_agent_-KW4K.action.Untitled_2MU,2026-04-12,2,2,0,0
33e839ea-074e-e138-16dc-4a867812860d,crad4_competitiveIntelAgent.action.Office365Outlook-SendanemailV2,2026-04-12,7,5,5,5
b7b409ca-6516-2e27-a5b2-e7c823fa4654,crad4_irishGrantsResearchAgent.action.Office365Outlook-SendanemailV2,2026-04-12,1,1,1,1
df66b318-4bbd-6dcb-d6dd-6aaf07eb7275,crad4_agentTm9sB-.action.SQLServer-ExecuteaSQLqueryV2,2026-04-12,10,9,0,0
ca046bd6-e1f2-5794-a120-332ca9cf8295,crad4_migrationFluxPowerAutomate.action.Office365Outlook-EnvoyerunerequteHTTP,2026-04-12,4,0,0,0
f61d148c-76e6-3001-55a8-ee4ca47ace11,crad4_inboxTaskManager.action.Planner-Createatask,2026-04-12,250,0,0,0
3f0a5559-0596-3fe5-aa0f-59899cb9169f,crad4_leaNaLeadNotifierAgent.action.Office365Outlook-SendanemailV2,2026-04-12,3,3,3,3
d016454a-df0f-bde2-ca7b-966e23c4bd35,cr2df_agent.action.SQLServer-ExecuteaSQLqueryV2_Tkt,2026-04-12,1,0,0,0
